glyph_unified	src_ref	pronunciation	meaning
륷	U0-36301	xo⁵⁵	〖灯盏〗。
뙎	U0-36302	xo⁵⁵	〖螳螂〗。
룥	U0-36303	xo⁵⁵	〖群众，百姓〗。
렟	U0-36304	xo⁵⁵	〖洞房〗。
삠	U0-36305	xo³³	泻，〖腹泻〗。倒（水），〖倒洗脸水〗。
릨	U0-36306	xo²¹	洁净，〖很洁净（指不沾邪祟）〗，〖打醋坛祛除，使…洁净〗，〖洁净〗。
붭	U0-36307	xo²¹	骨的前加词素，〖骨头〗。
똇	U0-36308	xo²¹	全，彻底。
댃	U0-36309	xo²¹	康复。
댂	U0-36310	xo²¹	象，〖大象〗，〖象牙〗。
뷤	U0-36311	xo²¹	〖枪〗，〖造枪〗。
뗰	U0-36312	xo²¹	〖顺心，合心〗。
뻫	U0-36313	xo²¹	〖嫉妒〗。
뱘	U0-36401	xo²¹	〖活结〗。
뼏	U0-36402	xʊ⁵⁵	叹（气），〖叹气〗，〖喘气〗，〖唉声叹气〗。
룦	U0-36403	xʊ⁵⁵	收缩。
몜	U0-36404	xʊ⁵⁵	消瘦。
뒻	U0-36405	xʊ⁵⁵	纠缠。
똈	U0-36406	xʊ⁵⁵	必要。
뼐	U0-36407	xʊ⁵⁵	理（顺），理（通）。
뫚	U0-36408	xʊ³³	（部分竹制用具），簸（箕），〖簸箕〗，〖撮箕〗。
뼑	U0-36409	xʊ³³	豁（出）。
땭	U0-36410	xʊ²¹	掉，开（虚词）。
뮰	U0-36411	xʊ²¹	送。
늋	U0-36501	xʊ²¹	解（大、小便）。
뾤	U0-36502	xɯ⁵⁵	撒，〖撒鸡食〗，〖撒灰〗，〖撒遍〗，〖普及〗。
