glyph_unified	src_ref	pronunciation	meaning
	U1-11001		賨（cong）〖旧时民间的储金会〗。
	U1-11002		人。他们。〖领导〗。
	U1-11003		一下。稍微。
	U1-11004		迎亲（男家倒女家迎接新娘）。
	U1-11005		盐巴。
	U1-11101		阵（量词）。
	U1-11102		冬。
	U1-11103		凑（钱），集（资）。
	U1-11104		整（齐）。
	U1-11105		肥。
	U1-11106		丛，簇。
	U1-11201		（用手指）撮。撮（量词）。
	U1-11202		〖太阳〗。〖耳语〗。
	U1-11203		热。暑。
	U1-11204		（斜）砍，割。
	U1-11205		捏。
	U1-11301		卡。
	U1-11302		佐餐，下（酒，饭）。
	U1-11303		挤（奶）。
	U1-11304		涩。
	U1-11305		十（数词）。
	U1-11306		（毛）发。
	U1-11307		胡须。
	U1-11401		锡（矿）。
	U1-11402		掉（下），落（下）。〖澜沧江〗。
	U1-11403		（脚）碓（dui）。
	U1-11404		（盐）臼。
	U1-11405		抽，吸。
	U1-11406		（轻）舂。
	U1-11501		洗。淘;。
	U1-11502		药。
	U1-11503		〖神位〗。
	U1-11504		骟（母畜）。〖苦荞〗。
	U1-11505		〖沼泽地〗。〖人名用词〗。
	U1-11506		〖砂锅〗。
	U1-11701		（人的）关系。〖坝子伯尼，人名，古代一位著名的毕摩〗。
	U1-11702		钻，凿。
	U1-11703		剁。
	U1-11704		切（菜，肉等）。
	U1-11801		匪。
	U1-11802		祭祀。
	U1-11803		超度。
	U1-11804		编织。〖组织（名词〗）。
	U1-11805		骑（动词）。骑（量词）。
	U1-11806		鼓。
	U1-11901		生（与熟相对）。
	U1-11902		凶恶（专指兽类）。〖无中生有〗。〖疔毒〗。
	U1-11903		腥（气），膻（味）。
	U1-11904		
	U1-11905		憨（吃）。
	U1-11906		常常（地）。
	U1-12001		丰富。
	U1-12002		〖脊椎凹陷处〗。〖幽默，风趣，诙谐〗。
	U1-12003		碎步。
	U1-12004		塞（动词）。
	U1-12005		潲（雨）。〖白鹇（鸟名〗）。
	U1-12006		（砖）模子，土坯。〖犁坯〗。
	U1-12101		〖疾病（泛称〗）。
	U1-12102		生长着。〖人名用词〗。
	U1-12103		恨，讨厌。
	U1-12104		建造，建盖。
	U1-12105		（堆）尖。过分。
	U1-12201		绊（舌）。
	U1-12202		〖后缀词〗〖红红的〗。
	U1-12203		（抬）高，（垫）高。〖敷衍〗。
	U1-12204		
	U1-12205		吃。
	U1-12206		〖应该〗。
	U1-12301		〖男子汉，大丈夫〗。
	U1-12302		牵挂，惦念。
	U1-12303		凿（子）。
	U1-12304		虎（别称）。
	U1-12305		副（量词）。张（量词）。
	U1-12306		齐。理齐。
	U1-12401		集中。〖列席，到会〗。〖相会〗。
	U1-12402		居住。〖基业〗。〖地名用词〗。
	U1-12403		正直。
	U1-12404		犀（牛）。
	U1-12405		〖高粱〗。
	U1-12501		粮食。庄稼。
	U1-12502		
	U1-12503		花（斑纹）。
	U1-12504		皴（cun）裂（（皮肤）因受冻而裂开）。
	U1-12505		把（用具量词）。张（量词）。架。支。盏。
	U1-12601		撞。
	U1-12602		上级。
	U1-12603		架，台（量词）。
	U1-12604		边缘。棱角。
	U1-12605		〖山梁〗。
	U1-12606		歪斜。
	U1-12607		双，对（量词）双（数），偶（数）。
	U1-12701		防备。
	U1-12702		禁忌。
	U1-12703		尊敬。
	U1-12704		桥。〖亲家〗。
	U1-12801		鹞（子）〖雀鹰〗。
	U1-12802		（植物的）浆，汁。
	U1-12803		椒类。
	U1-12804		剩。
	U1-12805		滴（水）。
	U1-12806		相抵，抵消。
	U1-12901		（花）蕾。
	U1-12902		闯入。
	U1-13001		流（星）。
	U1-13002		（力）大，强。
	U1-13003		劈。
	U1-13004		呻吟。
	U1-13005		好看。
	U1-13101		〖裙脚〗。
	U1-13102		滴（水）。
	U1-13103		……来……去。
	U1-13104		鲁莽。过分。
	U1-13105		模仿。
	U1-13106		习惯。
	U1-13201		隐痛。
	U1-13202		
	U1-13203		君。人名用词。
	U1-13204		能干。
	U1-13301		（婴儿皮肤褶皱处）发炎。
	U1-13302		发髻。缨（子）。
	U1-13303		〖首长〗。
	U1-13304		节省。
	U1-13305		商议。
	U1-13306		纱（线）。
	U1-13401		捅。
	U1-13402		避。
	U1-13403		（果子）初结。（开始）牵藤。
	U1-13501		〖石榴〗。
	U1-13502		觉察，发觉，感觉。
	U1-13503		粒。
	U1-13504		带（东西）。
	U1-13505		脱（毛）。
	U1-13506		
	U1-13601		渴。（水烧）干。
	U1-13602		（花）谢。〖史派，彝语指云南石屏〗。〖派德，彝语指云南新平县〗。
	U1-13603		戳。
	U1-13604		肝。〖生血菜〗。
	U1-13605		知道。〖知识〗。
	U1-13701		容器。
	U1-13702		磨。
	U1-13703		〖饭谷〗。
	U1-13704		主人。
	U1-13705		〖果子名称的前缀词〗。
	U1-13706		神。
	U1-13801		牵。
	U1-13802		〖膀胱〗。
	U1-13803		〖象声词〗。
	U1-13804		〖形容性格孤僻〗。隐约。
	U1-13805		耳语。
	U1-13806		线索。
	U1-13807		粗糙。
	U1-13901		哪。
	U1-13902		气。清气。
	U1-13903		钱（量词）。
	U1-13904		嘶哑。
	U1-13905		〖太……了。〗。〖莴苣（woju〗）。
	U1-13906		（（厦子）小屋檐）。
	U1-13907		〖醋〗。
	U1-14001		（用刀）修削。
	U1-14002		〖芫荽〗。
	U1-14003		〖远古〗。
	U1-14004		〖菜刀〗。
